dateString,timestamp[ms],rssi[dBm],snr[dB],longitude,latitude,height[m],altitude[m a.s.l.],speed[m/s],depth[m],runID
2025-04-02T15:24:01.576,1743600241576,-98,8.75,11.8271249868591,46.3788692325693,38.67912,1912.0104,4.8877476032,0.6,1
2025-04-02T15:24:01.786,1743600241786,-98,10.75,11.8271315070271,46.3788615252102,38.67912,1912.0104,4.8877476032,0.6,1
2025-04-02T15:24:01.995,1743600241995,-97,10.5,11.8271379689971,46.3788537189748,38.58768,1912.0104,4.8877476032,0.6,1
2025-04-02T15:24:02.205,1743600242205,-98,9.75,11.8271444355354,46.3788459554844,38.58768,1912.0104,4.97394004448,0.6,1
2025-04-02T15:24:02.415,1743600242415,-98,10.25,11.8271544934696,46.3788339242591,38.58768,1912.0104,4.97394004448,0.6,1
2025-04-02T15:24:02.625,1743600242625,-96,10,11.8271608711219,46.3788264335026,38.49624,1912.0104,4.97394004448,0.6,1
2025-04-02T15:24:02.835,1743600242835,-96,10,11.8271672981332,46.3788186401053,38.49624,1912.0104,4.92443662304,0.6,1
2025-04-02T15:24:03.044,1743600243044,-96,9.75,11.8271736980319,46.3788108635713,38.49624,1912.0104,4.83736261888,0.6,1
2025-04-02T15:24:03.253,1743600243253,-96,10.25,11.8271801784742,46.3788030764089,38.49624,1912.0104,4.8877476032,0.6,1
2025-04-02T15:24:03.463,1743600243463,-96,10.5,11.827186725755,46.3787954494353,38.37432,1911.7056,4.8877476032,0.6,1
2025-04-02T15:24:03.673,1743600243673,-97,10.5,11.8271932707515,46.3787876233391,38.37432,1911.7056,4.8877476032,0.6,1
2025-04-02T15:24:03.882,1743600243882,-96,9.25,11.8271997814846,46.3787797938855,38.37432,1911.7056,4.8877476032,0.6,1
2025-04-02T15:24:04.092,1743600244092,-95,8.75,11.8272062655023,46.3787721445246,38.37432,1911.7056,4.8877476032,0.6,1
2025-04-02T15:24:04.301,1743600244301,-95,9,11.8272128954123,46.3787643095556,38.28288,1911.7056,4.83736261888,0.6,1
2025-04-02T15:24:04.512,1743600244512,-95,9,11.8272226434865,46.3787526062276,38.28288,1911.7056,4.92443662304,0.6,1
2025-04-02T15:24:04.721,1743600244721,-93,10.5,11.8272290789396,46.3787449292207,38.28288,1911.7056,4.83736261888,0.6,1
2025-04-02T15:24:04.930,1743600244930,-93,10.5,11.8272357281166,46.3787368436568,38.28288,1911.7056,4.83736261888,0.6,1
2025-04-02T15:24:05.140,1743600245140,-94,10.75,11.8272420276087,46.3787295076337,38.19144,1911.7056,4.83736261888,0.6,1
2025-04-02T15:24:05.350,1743600245350,-93,11.25,11.827248372388,46.3787218813453,38.19144,1911.7056,4.83736261888,0.6,1
